CALCULATIONTYPE,MESSAGE,ALARMTYPE,SERVERNODE,ACKCOMMENT,BTAVAILABILITYLOGSID,EVENTTIME,ACTIVETIME,PRIORITY,CONDITIONACTIVE,STATUS,COMMENTS,Route,Location,CHARGEABLE,BTAVAILABILITYALARMSID,GRACEPERIOD,GRACEPERIODUNIT
FLEET,Battery Charger Failure Cleared,VEH,3,12,2056902,2021-05-06T02:51:47Z,2021-05-06T02:47:22Z,2,False,,,,,1,743,260,SECONDS
FLEET,Battery Charger Failure Cleared,VEH,3,2,2060070,2021-05-06T01:18:16Z,2021-05-06T01:12:12Z,2,False,,,,,1,747,260,SECONDS
FLEET,Emergency Brake Trainline Deenergized VATC Cleared,VEH,1,4,2053623,2021-05-06T04:59:58Z,2021-05-06T01:48:51Z,1,False,,,,,1,2999,260,SECONDS
FLEET,Emergency Brake Trainline Deenergized VATC Cleared,VEH,1,8,2058722,2021-05-06T01:46:12Z,2021-05-06T01:15:28Z,1,False,,,,,1,3003,260,SECONDS
FLEET,Inaccurate Station Stop Short Cleared,VEH,1,2,2053629,2021-05-06T04:59:54Z,2021-05-06T01:58:25Z,2,False,,,,,1,3809,260,SECONDS
FLEET,Inaccurate Station Stop Short Cleared,VEH,1,2,2058899,2021-05-06T01:43:05Z,2021-05-06T01:27:25Z,2,False,,,,,1,3809,260,SECONDS
FLEET,LVPS Line Failure Cleared,VEH,2,2,2060076,2021-05-06T01:18:12Z,2021-05-06T01:12:16Z,2,False,,,,,1,4497,260,SECONDS
FLEET,LVPS Line Failure Cleared,VEH,3,12,2056901,2021-05-06T02:51:47Z,2021-05-06T02:47:22Z,2,False,,,,,1,4507,260,SECONDS
FLEET,LVPS Line Failure Cleared,VEH,3,2,2060069,2021-05-06T01:18:16Z,2021-05-06T01:12:12Z,2,False,,,,,1,4511,260,SECONDS
FLEET,Summary Doors Failed to Close Cleared,VEH,1,12,2056759,2021-05-06T02:55:31Z,2021-05-06T02:49:33Z,2,False,,,,,1,23052,260,SECONDS
FLEET,Train Failed to Arrive Cleared,TRN,TRN4,225,2058641,2021-05-06T01:47:35Z,2021-05-06T01:41:38Z,2,False,,,,,1,23057,260,SECONDS
FLEET,Train Failed to Arrive Cleared,TRN,TRN7,1,2057424,2021-05-06T02:26:56Z,2021-05-06T02:22:27Z,2,False,,,,,1,23335,260,SECONDS
FLEET,Train in Full Manual Mode Cleared,VEH,1,2,2059912,2021-05-06T01:21:23Z,2021-05-06T01:13:18Z,2,False,,,,,1,8871,260,SECONDS
SERVICE MODE,Unscheduled Stop Cleared,VEH,1,3,2054139,2021-05-06T04:38:25Z,2021-05-06T04:38:07Z,1,False,,,,,1,11328,1,HEADWAY
SERVICE MODE,Unscheduled Stop Cleared,VEH,1,7,2057503,2021-05-06T02:23:34Z,2021-05-06T02:22:48Z,1,False,,,,,1,11332,1,HEADWAY
