,Slices,Slice_duration
1,S 1,0 days 00:00:04
2,S 2,0 days 00:01:02
3,S 3,0 days 00:02:10
4,S 4,0 days 00:02:44
5,S 5,0 days 00:00:04
6,S 6,0 days 00:03:07
7,S 7,0 days 00:06:02
8,S 8,0 days 00:14:13
9,S 9,0 days 00:01:27
10,S 10,0 days 00:03:07
11,S 11,0 days 00:01:23
12,S 12,0 days 00:01:16
13,S 13,0 days 00:09:34
14,S 14,0 days 00:24:02
15,S 15,0 days 00:00:21
16,S 16,0 days 00:00:46
17,S 17,0 days 00:03:22
18,S 18,0 days 00:20:26
19,S 19,0 days 00:02:11
20,S 20,0 days 00:02:14
21,S 21,0 days 00:03:44
22,S 22,0 days 01:42:36
23,S 23,0 days 00:00:18
24,S 24,0 days 00:21:29
25,S 25,0 days 00:00:04
